Date,Fatalities
31 Mar 2018,0
3 Jul 2018,0
14 Sep 2018,0
26 Oct 2018,0
29 Oct 2018,189
24 Nov 2018,0
28 Nov 2018,0
1 Dec 2018,0
4 Dec 2018,0
14 Dec 2018,0
7 Jan 2019,0
12 Jan 2019,0
18 Jan 2019,0
26 Jan 2019,0
28 Jan 2019,0
10 Mar 2019,157
26 Mar 2019,0
22 Dec 2020,0
1 Feb 2021,0
5 Mar 2021,0
5 Mar 2021,0
23 Apr 2021,0
23 Jul 2021,0
4 Aug 2021,0
16 Aug 2021,0
29 Oct 2021,0
11 Nov 2021,0
9 Dec 2021,0
11 Dec 2021,0
28 Dec 2021,0
31 Dec 2021,0
7 Feb 2022,0
3 May 2022,0
5 May 2022,0
9 May 2022,0
12 May 2022,0
2 Jun 2022,0
5 Jul 2022,0
7 Jul 2022,0
15 Aug 2022,0
3 Sep 2022,0
12 Sep 2022,0
16 Sep 2022,0
10 Oct 2022,0
15 Oct 2022,0
15 Oct 2022,0
27 Oct 2022,0
1 Nov 2022,0
2 Nov 2022,0
8 Nov 2022,0
10 Nov 2022,0
26 Nov 2022,0
2 Dec 2022,0
10 Dec 2022,0
26 Dec 2022,0
1 Jan 2023,0
5 Jan 2023,0
4 Feb 2023,0
7 Feb 2023,0
8 Feb 2023,0
4 Mar 2023,0
5 Mar 2023,0
5 Mar 2023,0
28 Mar 2023,0
13 Apr 2023,0
30 Apr 2023,0
8 May 2023,0
14 May 2023,0
9 Jun 2023,0
14 Jun 2023,0
16 Jun 2023,0
20 Jun 2023,0
5 Jul 2023,0
8 Jul 2023,0
12 Jul 2023,0
28 Aug 2023,0
29 Aug 2023,0
6 Sep 2023,0
13 Sep 2023,0
25 Sep 2023,0
30 Sep 2023,0
12 Oct 2023,0
13 Oct 2023,0
15 Oct 2023,0
21 Oct 2023,0
1 Nov 2023,0
4 Nov 2023,0
9 Nov 2023,0
30 Nov 2023,0
4 Dec 2023,0
10 Dec 2023,0
12 Dec 2023,0
20 Dec 2023,0
23 Dec 2023,0
1 Jan 2024,0
5 Jan 2024,0
9 Jan 2024,0
8 Mar 2024,0
8 Mar 2024,0
23 Mar 2024,0
24 Mar 2024,0
7 Apr 2024,0
11 Apr 2024,0
23 Apr 2024,0
12 May 2024,0
18 May 2024,0
25 May 2024,0
9 Jun 2024,0
11 Jun 2024,0
22 Jun 2024,0
11 Jul 2024,0
18 Jul 2024,0
20 Jul 2024,0
29 Jul 2024,0
4 Aug 2024,0
5 Aug 2024,0
11 Aug 2024,0
18 Aug 2024,0
12 Sep 2024,0
14 Sep 2024,0
17 Sep 2024,0
29 Sep 2024,0
1 Oct 2024,0
12 Oct 2024,0
17 Oct 2024,0
20 Oct 2024,0
24 Oct 2024,0
