Date,Fatalities
7 Jul 1998,0
30 Dec 1998,0
25 May 1999,0
8 Jul 1999,0
25 Aug 1999,0
3 Sep 1999,0
11 Mar 2000,0
27 Mar 2000,0
16 Jun 2000,0
31 Jul 2000,0
5 Oct 2000,0
13 Nov 2000,0
30 Nov 2000,0
3 Feb 2001,0
28 Apr 2001,0
28 May 2001,0
14 Aug 2001,0
10 Oct 2001,0
20 Dec 2001,0
20 Dec 2001,0
19 Feb 2002,0
27 Feb 2002,0
9 Sep 2002,0
19 Sep 2002,0
29 Nov 2002,0
5 Dec 2002,0
12 Jan 2003,0
16 Jan 2003,0
19 Jan 2003,0
29 Jan 2003,0
6 Apr 2003,0
21 May 2003,0
4 Jun 2003,0
2 Aug 2003,0
16 Aug 2003,0
28 Aug 2003,0
4 Oct 2003,0
10 Oct 2003,0
25 Nov 2003,0
20 Dec 2003,0
22 Dec 2003,0
21 Mar 2004,0
14 Apr 2004,0
4 Jun 2004,0
1 Jul 2004,0
13 Jul 2004,0+1
19 Aug 2004,0
19 Dec 2004,0
8 Jan 2005,0
1 Feb 2005,0
16 Mar 2005,0
20 Mar 2005,0
13 Apr 2005,0
23 Apr 2005,0
29 Apr 2005,0
27 May 2005,0
18 Jun 2005,0
8 Jul 2005,0
8 Aug 2005,0
12 Oct 2005,0
22 Oct 2005,0
30 Oct 2005,0
19 Nov 2005,0
4 Dec 2005,0
8 Dec 2005,0+1
16 Dec 2005,0
25 Dec 2005,0
6 Jan 2006,0
1 Feb 2006,0
6 Feb 2006,0
18 Mar 2006,0
23 Mar 2006,0
3 May 2006,0
11 May 2006,0
12 May 2006,0+1
15 May 2006,0
21 May 2006,0
4 Jun 2006,0
17 Jun 2006,0
17 Jun 2006,0
12 Aug 2006,0
7 Sep 2006,0
7 Sep 2006,0
11 Sep 2006,0
16 Sep 2006,0
24 Sep 2006,0
28 Sep 2006,0
29 Sep 2006,154
16 Oct 2006,0
19 Oct 2006,0
15 Dec 2006,0
26 Dec 2006,0
5 Jan 2007,0
6 Jan 2007,0
13 Jan 2007,0
15 Feb 2007,0
12 Mar 2007,0
16 Mar 2007,0
10 Apr 2007,0
4 May 2007,0
4 May 2007,0
5 May 2007,114
25 Jun 2007,0
5 Jul 2007,0
6 Jul 2007,0
8 Jul 2007,0
16 Jul 2007,0
16 Jul 2007,0
31 Jul 2007,0
2 Aug 2007,0
16 Aug 2007,0
20 Aug 2007,0
20 Sep 2007,0
28 Oct 2007,0
28 Oct 2007,0
25 Nov 2007,0
11 Dec 2007,0
27 Jan 2008,0
1 Feb 2008,0
1 Feb 2008,0
3 Feb 2008,0
4 Feb 2008,0
17 Feb 2008,0
21 Feb 2008,0
22 Feb 2008,0
28 Feb 2008,0
1 Mar 2008,0
13 Mar 2008,0
14 Mar 2008,0
21 Mar 2008,0
25 Mar 2008,0
6 Apr 2008,0
6 Apr 2008,0
29 Apr 2008,0
23 Jun 2008,0
2 Jul 2008,0
17 Jul 2008,0
20 Jul 2008,0
23 Jul 2008,0
5 Aug 2008,0
5 Aug 2008,0
16 Aug 2008,0
17 Aug 2008,0
25 Aug 2008,0
2 Sep 2008,0
4 Sep 2008,0
11 Sep 2008,0
14 Sep 2008,0
1 Oct 2008,0
7 Oct 2008,0
15 Oct 2008,0
17 Oct 2008,0
18 Oct 2008,0
