Date,Fatalities
9 Nov 2010,0
6 Nov 2011,0
28 Jul 2012,0
4 Dec 2012,0
7 Jan 2013,0
8 Jan 2013,0
9 Jan 2013,0
16 Jan 2013,0
18 Jun 2013,0
20 Jun 2013,0
23 Jun 2013,0
25 Jun 2013,0
12 Jul 2013,0
12 Jul 2013,0
18 Sep 2013,0
12 Oct 2013,0
21 Oct 2013,0
24 Dec 2013,0
14 Jan 2014,0
19 Jan 2014,0
30 Jan 2014,0
21 Feb 2014,0
8 Mar 2014,0
29 May 2014,0
3 Jul 2014,0
6 Jul 2014,0
5 Aug 2014,0
2 Sep 2014,0
26 Sep 2014,0
1 Oct 2014,0
6 Oct 2014,0
10 Oct 2014,0
9 Feb 2015,0
1 Mar 2015,0
6 Apr 2015,0
19 Apr 2015,0
29 Jun 2015,0
18 Jul 2015,0
27 Jul 2015,0
21 Aug 2015,0
28 Sep 2015,0
19 Oct 2015,0
21 Oct 2015,0
25 Oct 2015,0
7 Nov 2015,0
19 Dec 2015,0
21 Dec 2015,0
28 Dec 2015,0
26 Jan 2016,0
29 Jan 2016,0
17 Feb 2016,0
21 Feb 2016,0
4 Mar 2016,0
17 Apr 2016,0
4 Jul 2016,0
4 Jul 2016,0
9 Jul 2016,0
7 Aug 2016,0
14 Aug 2016,0
20 Aug 2016,0
25 Aug 2016,0
28 Aug 2016,0
30 Aug 2016,0
4 Sep 2016,0
12 Oct 2016,0
2 Nov 2016,0
10 Nov 2016,0
10 Nov 2016,0
13 Nov 2016,0
20 Nov 2016,0
20 Nov 2016,0
22 Nov 2016,0
26 Nov 2016,0
6 Mar 2017,0
22 Mar 2017,0
30 Mar 2017,0
24 Apr 2017,0
29 Apr 2017,0
13 May 2017,0
19 May 2017,0
25 May 2017,0
27 May 2017,0
1 Jul 2017,0
22 Jul 2017,0
5 Aug 2017,0
8 Aug 2017,0
13 Aug 2017,0
14 Aug 2017,0
7 Sep 2017,0
14 Oct 2017,0
13 Nov 2017,0
15 Dec 2017,0
15 Dec 2017,0
7 Jan 2018,0
21 Jan 2018,0
1 Mar 2018,0
8 Mar 2018,0
28 Mar 2018,0
22 Apr 2018,0
2 May 2018,0
14 May 2018,0
10 Jun 2018,0
16 Jun 2018,0
23 Jun 2018,0
30 Jun 2018,0
5 Jul 2018,0
6 Jul 2018,0
30 Jul 2018,0
9 Aug 2018,0
24 Aug 2018,0
12 Sep 2018,0
2 Oct 2018,0
11 Oct 2018,0
20 Oct 2018,0
2 Nov 2018,0
3 Nov 2018,0
28 Nov 2018,0
18 Dec 2018,0
10 Jan 2019,0
17 Jan 2019,0
25 Jan 2019,0
30 Jan 2019,0
1 Feb 2019,0
3 Feb 2019,0
13 Feb 2019,0
29 Mar 2019,0
1 May 2019,0
3 May 2019,0
12 May 2019,0
1 Jun 2019,0
16 Jun 2019,0
30 Jun 2019,0
17 Jul 2019,0
18 Jul 2019,0
29 Jul 2019,0
2 Aug 2019,0
10 Aug 2019,0
12 Aug 2019,0
15 Aug 2019,0
21 Aug 2019,0
22 Aug 2019,0
1 Sep 2019,0
7 Sep 2019,0
16 Sep 2019,0
19 Sep 2019,0
29 Sep 2019,0
5 Oct 2019,0
6 Oct 2019,0
18 Oct 2019,0
22 Oct 2019,0
3 Nov 2019,0
23 Nov 2019,0
13 Dec 2019,0
18 Jan 2020,0
9 Feb 2020,0
28 Mar 2020,0
21 Apr 2020,0
30 Apr 2020,0
14 May 2020,0
4 Jun 2020,0
6 Jun 2020,0
2 Jul 2020,0
3 Jul 2020,0
20 Jul 2020,0
1 Oct 2020,0
20 Dec 2020,0
3 Jan 2021,0
3 Jan 2021,0
21 Feb 2021,0
13 Mar 2021,0
4 Apr 2021,0
19 Apr 2021,0
7 Jun 2021,0
18 Jun 2021,0
24 Jun 2021,0
11 Aug 2021,0
4 Oct 2021,0
6 Oct 2021,0
10 Oct 2021,0
1 Nov 2021,0
3 Nov 2021,0
21 Dec 2021,0
6 Mar 2022,0
25 Mar 2022,0
18 Apr 2022,0
21 Apr 2022,0
7 May 2022,0
25 May 2022,0
27 May 2022,0
29 Jun 2022,0
3 Jul 2022,0
21 Jul 2022,0
14 Aug 2022,0
27 Aug 2022,0
14 Sep 2022,0
17 Sep 2022,0
27 Sep 2022,0
28 Sep 2022,0
6 Oct 2022,0
14 Oct 2022,0
15 Oct 2022,0
17 Oct 2022,0
1 Nov 2022,0
19 Dec 2022,0
22 Dec 2022,0
26 Dec 2022,0
27 Dec 2022,0
30 Dec 2022,0
10 Jan 2023,0
21 Jan 2023,0
1 Feb 2023,0
3 Feb 2023,0
10 Feb 2023,0
14 Feb 2023,0
24 Feb 2023,0
28 Apr 2023,0
4 May 2023,0
4 May 2023,0
16 May 2023,0
19 Jun 2023,0
9 Jul 2023,0
20 Jul 2023,0
28 Jul 2023,0
28 Jul 2023,0
4 Aug 2023,0
14 Aug 2023,1
19 Aug 2023,0
21 Aug 2023,0
13 Sep 2023,0
18 Sep 2023,0
28 Sep 2023,0
1 Oct 2023,0
8 Oct 2023,0
18 Oct 2023,0
1 Nov 2023,0
6 Nov 2023,0
25 Nov 2023,0
30 Nov 2023,0
6 Dec 2023,0
21 Dec 2023,0
21 Dec 2023,0
22 Dec 2023,0
24 Dec 2023,0
26 Dec 2023,0
28 Dec 2023,0
31 Dec 2023,0
8 Jan 2024,0
20 Jan 2024,0
20 Jan 2024,0
1 Feb 2024,0
6 Feb 2024,0
8 Feb 2024,0
19 Feb 2024,0
27 Feb 2024,0
3 Mar 2024,0
7 Mar 2024,0
11 Mar 2024,0
20 Mar 2024,0
22 Mar 2024,0
1 Apr 2024,0
5 Apr 2024,0
6 Apr 2024,0
7 Apr 2024,0
16 Apr 2024,0
24 Apr 2024,0
30 Apr 2024,0
8 May 2024,0
10 May 2024,0
14 May 2024,0
18 May 2024,0
26 May 2024,0
9 Jun 2024,0
16 Jun 2024,0
20 Jun 2024,0
21 Jun 2024,0
27 Jun 2024,0
1 Jul 2024,0
1 Jul 2024,0
7 Jul 2024,0
12 Jul 2024,0
21 Jul 2024,0
12 Aug 2024,0
24 Aug 2024,0
4 Sep 2024,0
7 Sep 2024,0
10 Sep 2024,0
26 Sep 2024,0
17 Oct 2024,0
18 Oct 2024,0
20 Oct 2024,0
21 Oct 2024,0
25 Oct 2024,0
31 Oct 2024,0
10 Nov 2024,0
