Date,Fatalities
16 Dec 1960,84+50
19 Jan 1961,4
25 Apr 1961,0
30 May 1961,61
1 Jun 1961,
11 Jul 1961,17+1
29 Oct 1961,
7 Jul 1962,94
20 Aug 1962,15
6 Nov 1963,0
29 Nov 1963,118
30 Dec 1963,0
25 Feb 1964,58
25 Nov 1965,0
25 Dec 1965,0
4 Mar 1966,64
4 Jul 1966,2
5 Aug 1966,1
13 Aug 1966,6
24 Dec 1966,0
5 Mar 1967,51+5
30 Mar 1967,6+13
19 May 1967,3
23 Apr 1968,0
28 Apr 1968,0
29 Jun 1968,0
2 Aug 1968,12
22 Nov 1968,0
2 Dec 1968,
19 Dec 1968,0
13 Jan 1969,15
19 Jan 1969,0
28 Jan 1969,0
10 Feb 1969,0
7 Sep 1969,0
16 Oct 1969,0
14 Mar 1970,
19 Apr 1970,0
26 Jun 1970,0
5 Jul 1970,109
27 Jul 1970,4
8 Sep 1970,11
13 Sep 1970,0
15 Sep 1970,0
27 Nov 1970,47
29 Jan 1971,0
5 Feb 1971,0
19 Mar 1971,0
5 May 1972,115
15 May 1972,0
14 Jun 1972,82+4
6 Jul 1972,10
31 Jul 1972,0
17 Sep 1972,0
24 Sep 1972,0
18 Nov 1972,
24 Nov 1972,1
28 Nov 1972,61
10 May 1973,0+1
20 Jun 1973,0
21 Jun 1973,0
23 Jun 1973,0
8 Sep 1973,6
1 Dec 1973,0
22 Dec 1973,
23 Mar 1974,0+1
15 Jul 1974,0
4 Dec 1974,191
27 Feb 1975,0
20 Sep 1975,0
5 Jan 1976,0
18 Mar 1976,0+5
6 Oct 1976,73
13 Jan 1977,5
4 Mar 1977,2
18 Apr 1977,0
27 Sep 1977,34
28 Sep 1977,0
3 Oct 1977,0
11 Dec 1977,0
18 Dec 1977,3
3 Mar 1978,0
15 Nov 1978,183
28 Dec 1978,10
25 Jun 1979,0
7 Sep 1979,0
7 Oct 1979,14
1 Aug 1980,3
12 Sep 1980,3
15 Jan 1981,0
5 Aug 1981,0+1
9 Feb 1982,24
25 Apr 1982,0
27 May 1982,0
29 May 1982,0
25 Jun 1982,0
5 Sep 1982,0
17 Sep 1982,0
11 Jan 1983,3
11 Mar 1983,0
10 Apr 1983,0
16 Apr 1983,0
1 May 1983,0
12 May 1983,0
26 May 1983,
5 Jul 1983,0
20 Jul 1983,0
4 Aug 1983,0
25 Oct 1983,0
14 Dec 1983,0
23 Jan 1984,0
10 Mar 1984,0
23 Apr 1984,0
18 Jun 1984,0
26 Jun 1984,0
10 Jul 1984,0
24 Jul 1984,0
6 Aug 1984,0
18 Sep 1984,4+49
18 Sep 1984,0
19 Oct 1984,0
4 Jul 1985,0
8 Sep 1985,0
12 Dec 1985,256
25 Dec 1985,0
20 Aug 1987,0
2 Sep 1987,0
4 Feb 1988,0
31 Mar 1988,4
13 Apr 1988,0
30 Jun 1988,0
22 Nov 1988,0
28 Apr 1989,0
7 Jun 1989,176
13 Jul 1989,0
14 Jul 1989,0
10 Aug 1989,0
12 Mar 1991,0
11 Jul 1991,261
4 Oct 1991,0
13 Nov 1991,0
15 Feb 1992,0
15 Feb 1992,4
28 Mar 1992,0
23 Apr 1992,0
21 Aug 1992,0
28 Aug 1992,0
15 Oct 1992,0
13 Nov 1992,0
6 Dec 1992,0
9 Dec 1992,0
15 Jan 1993,0
18 Aug 1993,0
15 Sep 1993,0
8 Mar 1994,
15 Mar 1994,0
30 Nov 1994,0
25 Dec 1994,0
29 Jan 1995,0
16 Feb 1995,3
28 Apr 1995,0+6
13 May 1995,0
28 Jan 1996,0
4 Feb 1996,4+18
20 Mar 1996,0
17 Dec 1996,0
22 Dec 1996,6
31 Dec 1996,0
11 Mar 1997,0
4 Jul 1997,0
31 Jul 1997,0
7 Aug 1997,4+1
18 Nov 1997,0
20 Nov 1997,0
29 Apr 1998,0
18 Jul 1998,0
20 Jul 1999,0
16 Oct 1999,0
17 Dec 1999,0
16 Feb 2000,3
19 Feb 2000,0
28 Feb 2000,0
1 Mar 2000,0
27 Apr 2000,0
17 Jun 2000,0
12 Oct 2000,0
16 Jan 2001,0
3 Jul 2001,0
14 Dec 2001,0
28 Feb 2002,0
10 Sep 2002,
13 Dec 2002,0
10 Aug 2005,0
8 Feb 2006,0
4 Feb 2007,0
28 Mar 2008,0
7 Jan 2010,0
11 Aug 2010,0
10 Sep 2011,0
24 May 2013,0
21 Jan 2018,0
18 Mar 2021,0
20 Mar 2023,0
