Date,Fatalities
2 May 1980,0
19 Jun 1980,0
1 Dec 1981,180
10 Mar 1982,0
2 Apr 1983,0
27 Sep 1983,0
8 Nov 1983,0
17 Feb 1984,0
3 Sep 1984,0
2 Aug 1986,0
8 Mar 1987,0
23 Mar 1987,0
29 May 1987,0
16 Aug 1987,154+2
9 Oct 1987,0
1 Nov 1987,0
9 Dec 1987,0
27 Dec 1987,0
19 Jan 1988,0
28 Jan 1988,0
3 Feb 1988,0
12 Jun 1988,22
14 Jul 1988,0
1 Aug 1988,0
28 May 1989,0
31 May 1989,0
31 Aug 1989,0
11 Dec 1989,0
5 May 1991,0
19 Sep 1991,0
23 Sep 1991,0
28 Sep 1991,0
16 Oct 1991,0
20 Nov 1991,0
27 Dec 1991,0
14 Aug 1992,0
12 Oct 1992,0
10 Jan 1993,0
26 Apr 1993,0
27 Apr 1993,0
18 Jun 1993,0
27 Jul 1993,0
2 Sep 1993,0
3 Sep 1993,0
3 Oct 1993,0
16 Oct 1993,0
25 Oct 1993,0
26 Oct 1993,2
12 Nov 1993,0
13 Nov 1993,12
24 Nov 1993,0
8 Dec 1993,0
2 Mar 1994,0
17 Apr 1994,0
8 Jul 1994,0
19 Aug 1994,0
1 Oct 1994,0
26 Oct 1994,0
3 Nov 1994,0
3 Nov 1994,0
22 Nov 1994,0+2
6 Jan 1995,0
19 Apr 1995,0
27 Apr 1995,0
28 May 1995,
12 Nov 1995,0
4 Feb 1996,0
3 Jun 1996,0
5 Jun 1996,0
6 Jul 1996,2
19 Oct 1996,0
29 Oct 1996,0
11 Nov 1996,0
23 Nov 1996,0
24 Nov 1996,0
5 Dec 1996,0
20 Dec 1996,0
22 Dec 1996,0
7 Jan 1997,0
17 Feb 1997,0
5 Mar 1997,0
14 Mar 1997,0
28 Apr 1997,0
13 May 1997,0
17 Jun 1997,0
20 Jul 1997,0
23 Jul 1997,0
1 Sep 1997,0
25 Sep 1997,0
1 Oct 1997,0
19 Dec 1997,0
23 Dec 1997,0+1
11 Apr 1998,0
25 Jul 1998,0
25 Jul 1998,0
11 Oct 1998,0
15 Oct 1998,0
3 Nov 1998,0
25 Nov 1998,0
14 Dec 1998,0
26 Dec 1998,0
28 Jan 1999,0
5 Feb 1999,0
8 Feb 1999,0
24 Feb 1999,0
15 Mar 1999,0
20 Mar 1999,0
1 Jun 1999,11
25 Jun 1999,0
15 Sep 1999,0
17 Sep 1999,0
26 Dec 1999,0
31 Jan 2000,88
7 Mar 2000,0
11 Mar 2000,0
16 Mar 2000,0
1 Apr 2000,0
15 Apr 2000,
25 May 2000,0+1
5 Jun 2000,
14 Jun 2000,0
11 Jul 2000,0
21 Jul 2000,0
1 Oct 2000,0
29 Nov 2000,0
15 Mar 2001,0
24 Mar 2001,0
24 Mar 2001,0
10 May 2001,0
12 Jul 2001,0
21 Jul 2001,0
8 Oct 2001,110+8
30 Nov 2001,0
17 Mar 2002,0
17 Apr 2002,0
7 May 2002,112
4 Jun 2002,0
16 Jun 2002,0
2 Jul 2002,0
6 Nov 2002,0
27 Nov 2002,0
17 Dec 2002,0
14 Mar 2003,0
24 Mar 2003,0
16 Apr 2003,0
22 Apr 2003,0
12 Jun 2003,0
17 Jun 2003,0
1 Jul 2003,0
13 Jul 2003,
3 Aug 2003,0
7 Aug 2003,0
2 Sep 2003,0
25 Sep 2003,0
1 Jan 2004,0
24 Jan 2004,0
3 Feb 2004,0
20 Feb 2004,0
20 Apr 2004,0
26 May 2004,0
3 Jul 2004,0
15 Jul 2004,0
20 Aug 2004,0
16 Sep 2004,0
21 Oct 2004,0
21 Nov 2004,0
30 Nov 2004,25
20 Dec 2004,0
8 Jan 2005,0
20 Jan 2005,0
23 Jan 2005,0
2 Feb 2005,0
24 Mar 2005,0
12 Apr 2005,0
25 Apr 2005,0
13 May 2005,0
28 May 2005,0
16 Aug 2005,160
19 Aug 2005,0
26 Dec 2005,0
9 Jan 2006,0
18 Jan 2006,0
4 Mar 2006,0
21 Mar 2006,0
18 May 2006,0
22 May 2006,0
1 Jun 2006,0
20 Jun 2006,0
23 Jun 2006,0
4 Jul 2006,0
20 Aug 2006,0
16 Mar 2007,0
29 Mar 2007,0
27 Jun 2007,0
14 Jul 2007,0
18 Aug 2007,0
20 Aug 2007,0
16 Sep 2007,90
28 Sep 2007,0
11 Oct 2007,0
30 Nov 2007,57
25 Dec 2007,0
5 Feb 2008,0
18 Feb 2008,0
20 Feb 2008,0
22 Feb 2008,0
12 Mar 2008,0
25 Mar 2008,0
1 May 2008,0
7 Jul 2008,0
20 Jul 2008,0
31 Jul 2008,0
8 Aug 2008,0
20 Aug 2008,154
16 Sep 2008,0
20 Oct 2008,0
22 Oct 2008,0
9 Dec 2008,0
11 Dec 2008,0
26 Dec 2008,0
12 Jan 2009,0
12 Jan 2009,0
15 Jan 2009,0
2 Feb 2009,0
8 Mar 2009,0
11 Mar 2009,0
13 Mar 2009,0
25 Mar 2009,0
28 Mar 2009,0
16 Apr 2009,0
22 Apr 2009,0
7 May 2009,0
9 May 2009,0
28 May 2009,0
7 Jun 2009,0
24 Oct 2009,0
19 Nov 2009,0
13 Dec 2009,0
