Date,Fatalities
21 Jan 2017,0
8 Feb 2017,0
9 Apr 2017,0
15 Apr 2017,0
4 Sep 2017,0
18 Nov 2017,0
7 Feb 2018,0
24 Feb 2018,0
1 Mar 2018,0
12 Mar 2018,0
30 Mar 2018,0
23 Apr 2018,0
21 May 2018,0
10 Jul 2018,0
1 Sep 2018,0
7 Sep 2018,0
10 Dec 2018,0
23 Dec 2018,0
3 Jan 2019,0
3 Jan 2019,0
21 Jan 2019,0
3 Feb 2019,0
7 Feb 2019,0
5 Mar 2019,0
7 Mar 2019,0
24 Mar 2019,0
30 Mar 2019,0
1 Apr 2019,0
2 Apr 2019,0
21 Apr 2019,0
2 Jun 2019,0
29 Jun 2019,0
4 Jul 2019,0
15 Jul 2019,0
15 Jul 2019,0
19 Jul 2019,0
17 Aug 2019,0
18 Aug 2019,0
27 Aug 2019,0
27 Aug 2019,0
2 Sep 2019,0
8 Sep 2019,0
15 Sep 2019,0
13 Oct 2019,0
17 Oct 2019,0
24 Oct 2019,0
25 Oct 2019,0
26 Oct 2019,0
30 Oct 2019,0
11 Nov 2019,0
22 Dec 2019,0
23 Dec 2019,0
25 Dec 2019,0
25 Dec 2019,0
1 Jan 2020,0
7 Jan 2020,0
13 Jan 2020,0
16 Jan 2020,0
23 Jan 2020,0
23 Jan 2020,0
18 Feb 2020,0
26 Feb 2020,0
14 Jun 2020,0
14 Jun 2020,0
5 Nov 2020,0
13 Nov 2020,0
15 Nov 2020,0
29 Nov 2020,0
17 Dec 2020,0
7 Jan 2021,0
14 Jan 2021,0
20 Jan 2021,0
26 Jan 2021,0
6 Feb 2021,0
8 Feb 2021,0
12 Feb 2021,0
4 Apr 2021,0
13 Apr 2021,0
21 Apr 2021,0
17 May 2021,0
27 May 2021,0
29 May 2021,0
11 Jun 2021,0
13 Jun 2021,0
16 Jun 2021,0
22 Jun 2021,0
2 Jul 2021,0
31 Jul 2021,0
7 Aug 2021,0
4 Sep 2021,0
6 Sep 2021,0
15 Sep 2021,0
29 Sep 2021,0
2 Oct 2021,0
5 Oct 2021,0
11 Oct 2021,0
22 Oct 2021,0
23 Oct 2021,0
23 Oct 2021,0
7 Nov 2021,0
23 Nov 2021,0
25 Nov 2021,0
27 Nov 2021,0
28 Nov 2021,0
12 Dec 2021,0
1 Jan 2022,0
7 Jan 2022,0
7 Jan 2022,0
22 Jan 2022,0
24 Jan 2022,0+1
9 Feb 2022,0
17 Feb 2022,0
9 Apr 2022,0
14 Apr 2022,0
22 Apr 2022,0
7 May 2022,0
18 May 2022,0
19 May 2022,0
19 May 2022,0
28 May 2022,0
1 Jun 2022,0
13 Jun 2022,0
19 Jun 2022,0
8 Jul 2022,0
20 Jul 2022,0
25 Jul 2022,0
5 Aug 2022,0
23 Aug 2022,0
1 Sep 2022,0
2 Sep 2022,0+2
5 Sep 2022,0
8 Sep 2022,0
26 Sep 2022,0
17 Oct 2022,0
24 Oct 2022,0
18 Nov 2022,0+2
24 Dec 2022,0
30 Dec 2022,0
3 Jan 2023,0
10 Jan 2023,0
6 Feb 2023,0
12 Feb 2023,0
12 Feb 2023,0
26 Feb 2023,0
2 Mar 2023,0
18 Mar 2023,0
2 May 2023,0
5 May 2023,0
10 May 2023,0
14 May 2023,0
25 May 2023,0
4 Jun 2023,0
15 Jun 2023,0
17 Jun 2023,0
21 Jun 2023,0
21 Jun 2023,0
24 Jun 2023,0
7 Jul 2023,0
7 Jul 2023,0
17 Jul 2023,0
1 Aug 2023,0
3 Aug 2023,0
4 Aug 2023,0
6 Aug 2023,0
7 Aug 2023,0
22 Aug 2023,0
23 Aug 2023,0
28 Aug 2023,0
3 Sep 2023,0
10 Sep 2023,0
17 Sep 2023,0
12 Oct 2023,0
12 Oct 2023,0
14 Oct 2023,0
5 Nov 2023,0
15 Nov 2023,0
17 Nov 2023,0
20 Dec 2023,0
6 Jan 2024,0
14 Jan 2024,0
8 Feb 2024,0
11 Feb 2024,0
11 Feb 2024,0
14 Feb 2024,0
21 Feb 2024,0
22 Feb 2024,0
23 Feb 2024,0
7 Mar 2024,0
10 Mar 2024,0
13 Mar 2024,0
27 Mar 2024,0
5 Apr 2024,0
6 Apr 2024,0
28 Apr 2024,0
1 May 2024,0
6 May 2024,0
8 Jun 2024,0
7 Jul 2024,0
17 Jul 2024,0
14 Aug 2024,0
26 Aug 2024,0
20 Sep 2024,0
18 Oct 2024,0
20 Oct 2024,0
