Date,Fatalities
1 Mar 2005,0
7 Jun 2005,
3 Oct 2005,0
30 May 2006,0
12 Jul 2006,0
8 Sep 2006,0
20 Oct 2006,0
18 Feb 2007,0
26 May 2007,0
17 Jul 2007,0
4 Feb 2008,0
17 Feb 2008,0
29 Jul 2008,0
24 Oct 2008,0
24 Dec 2008,0
27 Dec 2008,0
15 Jan 2009,0
22 Apr 2009,0
11 Jul 2009,0
27 Jul 2009,0
1 Sep 2009,0
1 Sep 2009,0
1 Sep 2009,0
3 Sep 2009,0
3 Sep 2009,0
4 Sep 2009,0
13 Feb 2010,0
3 Apr 2010,0
13 Apr 2010,0
7 Jun 2010,0
7 Jun 2010,0
21 Jun 2010,0
22 Jun 2010,0
9 Aug 2010,0
24 Aug 2010,44
23 Oct 2010,0
15 Nov 2010,0
31 Dec 2010,0
12 Feb 2011,0
24 Feb 2011,0
21 May 2011,0
4 Jun 2011,0
16 Sep 2011,0
30 Oct 2011,0
27 Feb 2012,0
29 Jun 2012,2
5 Aug 2012,0
17 Aug 2012,0
23 Aug 2012,0
21 Nov 2012,0
21 Dec 2012,0
10 Jan 2013,0
29 Jan 2013,0
24 Feb 2013,0
13 Mar 2013,0
11 May 2013,0
18 Aug 2013,0
6 Nov 2013,0
7 Nov 2013,0
15 Nov 2013,0
20 Nov 2013,0
29 Nov 2013,33
6 Dec 2013,0
14 Dec 2013,0
28 Jan 2014,0
18 Feb 2014,0
23 Feb 2014,0
26 Feb 2014,0
28 Mar 2014,0
31 Mar 2014,0
11 Apr 2014,0
19 Apr 2014,0
29 Apr 2014,0
12 Jul 2014,0
16 Jul 2014,0
9 Aug 2014,0
22 Aug 2014,0
20 Sep 2014,0
22 Sep 2014,
1 Oct 2014,0
21 Oct 2014,0
22 Oct 2014,0
28 Dec 2014,0
9 Feb 2015,0
18 Mar 2015,0
10 May 2015,0
30 Jun 2015,0
xx Jun 2015,0
7 Jul 2015,0
20 Jul 2015,0
7 Aug 2015,0
11 Aug 2015,
20 Nov 2015,0
1 Dec 2015,0
