Flight,Average casualties per accident,Cumulative Average Casualties per Accident,Cumulative Probability
Airbus A380,0.0,0.0,0.0
Airbus A321N,0.0,0.0,0.0
Airbus A320N,0.02450980392,0.02450980392,0.0006629104384755602
Embraer jet,0.2342857143,0.25879551822,0.006999576619164159
Boeing 737 NG,0.4783950617,0.73719057992,0.019938606288728716
Airbus A321,0.8855140187,1.62270459862,0.043888878935898566
Airbus A320,0.887675507,2.51038010562,0.06789761280786603
Boeing 777,0.9801084991,3.49048860472,0.09440635832915636
DM80,2.713157895,6.20364649972,0.16778845047883023
Boeing 737,2.98094028,9.18458677972,0.248413184749828
DC9,3.986975398,13.17156217772,0.356247895215331
Boeing 747,5.33744856,18.50901073772,0.5006085101267843
Boeing 767,6.222634508,24.73164524572,0.66891052444055
DC8,12.24137931,36.97302455572,1.0
